donor_id,exp_date
G1,26.06.23
G2,26.06.23
G3,26.06.23
G4,26.06.23
G5,03.07.23
G6,03.07.23
G7,03.07.23
G8,13.07.23
G8,24.07.23
G9,24.07.23
G10,24.07.23
G11,24.07.23
G12,12.09.23
G13,12.09.23
G14,12.09.23
G15,26.09.23
G16,28.09.23
G17,28.09.23
G18,28.09.23
G19,28.09.23
G20,28.09.23
N259,07.12.23
G22,07.12.23
G23,07.12.23
G24,21.12.23
G25,21.12.23
G26,21.12.23
G27,28.12.23
G28,28.12.23
G29,28.12.23
G30,28.12.23
G31,28.12.23
G32,08.01.24
G33,08.01.24
G34,08.01.24
G35,11.01.24
G36,11.01.24
N417,11.01.24
G37,01.02.24
G38,01.02.24
G39,01.02.24
G40,08.02.24
G41,08.02.24
G42,08.02.24
G43,22.02.24
G44,22.02.24
G45,22.02.24
G46,22.02.24
G47,22.02.24
G48,22.02.24
G49,28.03.24
G50,28.03.24
N185,07.11.21
N186,07.11.21
N187,07.11.21
N188,07.11.21
N189,19.12.21
N190,28.11.21
N191,28.11.21
N192,28.11.21
N193,28.11.21
N194,19.12.21
N196,19.12.21
N197,19.12.21
N200,10.01.22
N201,02.01.22
N203,09.01.22
N204,09.01.22
N205,09.01.22
N206,09.01.22
N207,10.01.22
N208,10.01.22
N209,03.11.21
N210,10.01.22
N211,16.01.22
N212,16.01.22
N217,30.01.22
N218,30.01.22
N220,02.03.22
N226,07.02.22
N228,09.02.22
N232,14.02.22
N235,28.02.22
N239,02.03.22
N240,02.03.22
N241,03.03.22
N242,03.03.22
N243,03.03.22
N248,02.05.22
N249,06.06.22
N250,09.06.22
N251,09.06.22
N257,06.06.22
N265,19.06.22
N274,10.07.22
N279,26.10.22
N280,06.11.22
N281,06.11.22
N282,13.11.22
N283,13.11.22
N284,13.11.22
N287,14.11.22
N289,14.11.22
N294,23.11.22
N296,27.11.22
N298,27.11.22
N299,27.11.22
N12,04.12.22
N251,04.12.22
N196,01.01.23
N240,01.01.23
N188,15.01.23
N343,05.02.23
N359,27.02.23
N48,12.03.23
N365,12.03.23
N242,12.03.23
N368,26.03.23
N369,26.03.23
N211,26.03.23
N208,26.03.23
N200,26.03.23
N365,22.06.23
N376,22.06.23
N387,24.07.23
N280,15.08.23
N200,19.09.23
N402,19.09.23
N403,19.09.23
N281,30.11.23
N405,30.11.23
N279,30.11.23
N191,04.12.23
N367,04.12.23
N382,05.12.23
N192,05.12.23
N204,18.12.23
N413,18.12.23
N418,12.02.24
N419,12.02.24
N339,12.02.24
N421,12.02.24
N422,14.02.24
N251,19.02.24
N427,19.02.24
N195,19.12.21
N198,02.01.22
N199,02.01.22
N202,02.01.22
N213,16.01.22
N214,16.01.22
N215,30.01.22
N216,30.01.22
N219,28.02.22
N223,07.02.22
N224,07.02.22
N225,07.02.22
N227,09.02.22
N229,09.02.22
N230,09.02.22
N231,14.02.22
N233,14.02.22
N234,14.02.22
N236,28.02.22
N237,28.02.22
N238,02.03.22
N244,03.03.22
N245,02.05.22
N246,02.05.22
N247,02.05.22
N252,09.06.22
N253,06.06.22
N254,06.06.22
N255,09.06.22
N256,12.06.22
N258,12.06.22
N259,12.06.22
N260,12.06.22
N261,13.06.22
N262,13.06.22
N263,13.06.22
N264,13.06.22
N266,19.06.22
N267,19.06.22
N268,19.06.22
N269,03.07.22
N270,03.07.22
N271,03.07.22
N272,03.07.22
N273,10.07.22
N275,10.07.22
N276,10.07.22
N277,06.11.22
N278,25.10.22
N285,13.11.22
N286,14.11.22
N288,14.11.22
N290,14.11.22
N291,23.11.22
N292,23.11.22
N293,23.11.22
N295,23.11.22
N297,27.11.22
N300,27.11.22
N301,28.11.22
N302,28.11.22
N303,28.11.22
N304,28.11.22
N305,28.11.22
N306,04.12.22
N307,04.12.22
N308,04.12.22
N309,04.12.22
N312,08.12.22
N313,08.12.22
N314,08.12.22
N315,08.12.22
N316,08.12.22
N317,13.12.22
N318,13.12.22
N319,13.12.22
N320,13.12.22
N321,13.12.22
N322,13.12.22
N323,01.01.23
N1,01.01.23
N325,01.01.23
N328,15.12.22
N329,15.01.23
N325,15.01.23
N331,15.01.23
N333,15.01.23
N334,15.01.23
N335,29.01.23
N336,29.01.23
N337,29.01.23
N338,29.01.23
N339,29.01.23
N276,05.02.23
N198,05.02.23
N342,05.02.23
N344,05.02.23
N345,06.02.23
N346,06.02.23
N347,06.02.23
N348,06.02.23
N349,06.02.23
N350,08.02.23
N351,08.02.23
N352,08.02.23
N353,08.02.23
N354,27.02.23
N355,27.02.23
N356,27.02.23
N357,27.02.23
N260,27.02.23
N360,28.02.23
N307,28.02.23
N362,28.02.23
N363,28.02.23
N367,12.03.23
N373,22.06.23
N375,22.06.23
N377,22.06.23
N285,22.06.23
N264,22.06.23
N275,22.06.23
N381,20.07.23
N382,20.07.23
N383,20.07.23
N384,20.07.23
N385,20.07.23
N386,20.07.23
N388,13.08.23
N338,13.08.23
N390,13.08.23
N391,13.08.23
N392,15.08.23
N394,15.08.23
N1,15.08.23
N264,15.08.23
N252,15.08.23
N410,05.12.23
N414,01.01.24
N415,01.01.24
N416,01.01.24
N423,14.02.24
N425,19.02.24
N426,19.02.24
N12,03.11.21
N48,03.11.21
N60,03.11.21
