exp_name,scrna_exp_id
demux_17_08_20_1,1
demux_23_11_20_1,2
demux_30_11_20_1,3
demux_07_12_20_2,4
demux_07_12_20_1,5
demux_21_12_20_2,6
demux_21_12_20_1,7
demux_28_12_20_1,8
demux_28_12_20_2,9
demux_04_01_21_1,10
demux_04_01_21_2,11
demux_11_01_21_1,12
demux_11_01_21_2,13
demux_21_01_21_2,14
demux_21_01_21_1,15
demux_01_02_21_1,16
demux_01_02_21_2,17
demux_01_02_21_2_illumina,18
demux_21_02_21_2,19
demux_21_02_21_1,20
demux_22_02_21_2_illumina,21
demux_22_02_21_2,22
demux_22_02_21_1,23
demux_01_03_21_1,24
demux_07_03_21_1_illumina,25
demux_07_03_21_1,26
demux_07_03_21_2,27
demux_11_04_21_2_illumina,28
demux_11_04_21_1,29
demux_11_04_21_2,30
demux_03_11_21_1,31
demux_07_11_21_1,32
demux_28_11_21_1,33
demux_19_12_21_1,34
demux_02_01_22_1,35
demux_09_01_22_1,36
demux_10_01_22_1,37
demux_16_01_22_1,38
demux_30_01_22_1,39
demux_07_02_22_1,40
demux_09_02_22_1,41
demux_14_02_22_1,42
demux_14_02_22_2,43
demux_28_02_22_1,44
demux_28_02_22_2,45
demux_02_03_22_1,46
demux_03_03_22_1,47
demux_03_03_22_2,48
demux_02_05_22_1,49
demux_02_05_22_2,50
demux_02_05_22_2_ultima,51
demux_06_06_22_1,52
demux_06_06_22_1_ultima,53
demux_06_06_22_2,54
demux_06_06_22_2_ultima,55
demux_09_06_22_1,56
demux_09_06_22_2,57
demux_09_06_22_2_ultima,58
demux_12_06_22_1,59
demux_12_06_22_1_ultima,60
demux_13_06_22_1,61
demux_19_06_22_1,62
demux_19_06_22_2,63
demux_03_07_22_2,64
demux_03_07_22_2_ultima,65
demux_10_07_22_1,66
demux_10_07_22_2,67
N279_26_10_22_1_illumina,68
demux_06_11_22_1,69
demux_13_11_22_1,70
demux_14_11_22_1,71
demux_23_11_22_1,72
demux_27_11_22_1,73
demux_04_12_22_1,74
N251_04_12_22_1,75
demux_13_12_22_1,76
demux_13_12_22_2,77
demux_01_01_23_1,78
demux_15_01_23_1,79
demux_27_02_23_2,80
demux_28_02_23_1,81
demux_27_02_23_1,82
demux_26_03_23_1,83
demux_22_06_23_1,84
demux_n_24_07_23_1,85
demux_n_15_08_23_2,86
demux_g_12_09_23_1,87
demux_n_19_09_23_1,88
demux_n_30_11_23_1,89
demux_n_04_12_23_1,90
demux_n_04_12_23_2,91
demux_n_05_12_23_1,92
demux_g_07_12_23_1,93
demux_n_18_12_23_1,94
demux_n_18_12_23_2,95
demux_g_11_01_24_1,96
demux_n_12_02_24_1,97
demux_n_14_02_24_1,98
