donor_id,num_of_cells_in_metacell_model
N281,8718
N367,8718
N249,8718
N251,8718
N421,8718
G12,8718
N413,8718
N1,7647
N266,7447
N267,7427
N87,7119
N275,6757
N151,6507
N405,6438
N403,6069
N273,5686
N264,5396
N422,5120
N250,4482
N382,4040
N257,3807
N107,3795
N268,3547
N259,3517
N130,3507
N85,3457
N86,3103
N59,2919
N376,2906
N274,2882
N280,2771
N192,2742
N254,2231
N232,2091
N260,2055
N248,2041
N235,1950
N261,1582
N149,1524
N387,1490
N417,1435
N210,1315
N365,1273
N279,1211
N265,1048
N204,974
N48,932
N200,907
N272,834
N269,649
N37,626
N418,564
N226,496
N191,466
N339,357
N220,287
N35,222
