exp_name,donor_id,presumably_hspc_count
demux_n_18_12_23_2,N413,43571
demux_13_06_22_1,N262,24719
demux_n_18_12_23_1,N413,23764
demux_09_06_22_1,N251,22568
demux_02_05_22_2,N245,21427
demux_02_05_22_1,N245,20256
demux_n_04_12_23_1,N367,17862
demux_09_06_22_2,N251,17685
demux_n_30_11_23_1,N281,14693
demux_n_12_02_24_1,N421,14259
demux_g_12_09_23_1,G12,12577
demux_g_11_01_24_1,G36,12302
demux_22_06_23_1,N375,11331
demux_07_03_21_1_illumina,N169,8121
demux_06_06_22_2,N249,6534
demux_07_12_20_1,N89,6476
demux_n_30_11_23_1,N405,6394
demux_01_03_21_1,N163,6227
demux_21_02_21_1,N151,6188
demux_01_02_21_1,N113,6085
demux_01_03_21_1,N225,5372
demux_07_12_20_2,N87,5363
demux_28_12_20_1,N100,5301
demux_28_12_20_1,N234,5220
demux_11_04_21_1,N244,5088
demux_04_01_21_2,N108,5040
demux_n_19_09_23_1,N403,5020
demux_g_07_12_23_1,G23,4892
demux_11_01_21_2,N118,4748
demux_21_12_20_2,N96,4680
demux_n_14_02_24_1,N423,4673
demux_21_02_21_2,N219,4605
demux_21_01_21_1,N16,4484
demux_n_14_02_24_1,N422,4484
demux_01_02_21_1,N132,4428
demux_21_12_20_1,N90,4001
demux_21_02_21_1,N148,3936
demux_22_02_21_1,N154,3646
demux_19_06_22_2,N267,3644
demux_28_12_20_2,N106,3632
demux_07_03_21_1_illumina,N166,3613
demux_19_06_22_2,N266,3609
demux_11_04_21_2_illumina,N184,3567
demux_11_01_21_1,N119,3516
demux_01_02_21_2_illumina,N135,3506
demux_22_02_21_2_illumina,N156,3440
demux_g_28_09_23_1,G19,3385
demux_04_01_21_1,N115,3334
demux_11_01_21_2,N123,3319
demux_g_28_09_23_1,G20,3318
demux_06_06_22_1,N249,3295
demux_12_06_22_1,N258,3285
demux_22_02_21_2_illumina,N155,3223
demux_01_02_21_2_illumina,N130,3205
demux_01_02_21_2_illumina,N133,3167
