donor_id,num_of_cells_in_metacell_model
N288,11157
N234,11157
N211,11157
N186,11157
N244,11157
N368,11157
N307,11157
N357,11157
N205,11157
N281,11157
N251,11157
N235,11157
N280,10584
N231,10514
N249,10445
N224,10377
N200,10255
N317,10241
N306,9853
N355,9850
N359,9298
N321,9180
N354,9122
N228,8995
N291,8297
N225,7937
N223,7530
N260,7275
N240,7065
N208,7003
N233,6784
N320,6595
N215,6458
N232,6220
N356,6121
N319,6087
N1,5682
N308,5428
N239,5359
N193,5313
N322,4933
N60,4837
N81,4825
N238,4526
N300,4416
N210,4166
N295,4140
N290,4051
N257,3870
N191,3831
N241,3823
N292,3794
N196,3731
N362,3719
N48,3570
N369,3552
N285,3486
N130,3305
N217,3252
N192,3215
N293,3176
N242,3062
N363,2944
N283,2608
N187,2587
N318,2574
N309,2505
N294,2468
N299,2452
N207,2427
N220,2406
N213,2373
N254,2230
N298,2076
N243,2001
N206,1992
N190,1984
N323,1888
N287,1859
N250,1835
N259,1825
N284,1818
N226,1801
N82,1733
N188,1709
N282,1663
N185,1648
N77,1632
N194,1593
N212,1393
N209,1341
N201,1286
N12,1244
N203,1068
N74,1040
N171,981
N168,970
N153,860
N272,825
N248,824
N296,811
N197,790
N204,657
N76,640
N269,628
N189,610
N289,490
