exp_name,donor_id,presumably_hspc_count
N251_04_12_22_1,N251,51141
demux_02_05_22_2_ultima,N245,31716
demux_28_02_22_1,N235,25953
demux_28_02_22_2,N235,25848
demux_06_11_22_1,N281,21476
demux_02_01_22_1,N198,19103
demux_09_06_22_2_ultima,N251,18857
demux_09_01_22_1,N205,17172
demux_16_01_22_1,N211,13335
demux_14_11_22_1,N288,11618
demux_03_03_22_2,N244,11230
demux_07_11_21_1,N186,11104
demux_15_01_23_1,N334,10468
demux_06_11_22_1,N280,10391
demux_30_01_22_1,N217,9990
demux_26_03_23_1,N368,9657
demux_27_11_22_1,N297,9202
demux_30_01_22_1,N218,8417
demux_07_03_21_1,N169,8307
demux_09_02_22_1,N229,8265
demux_03_03_22_1,N244,7902
demux_04_12_22_1,N306,7592
demux_07_02_22_1,N225,7222
demux_07_02_22_1,N223,7040
demux_07_02_22_1,N224,7029
demux_10_01_22_1,N200,6928
demux_23_11_22_1,N291,6752
demux_06_06_22_2_ultima,N249,6573
demux_14_02_22_1,N234,6545
demux_14_11_22_1,N286,6453
demux_14_02_22_1,N231,5931
demux_09_02_22_1,N227,5746
demux_13_12_22_2,N317,5520
demux_27_02_23_1,N307,5346
demux_01_01_23_1,N1,5257
demux_02_03_22_1,N239,5075
demux_13_12_22_2,N321,4994
demux_04_12_22_1,N308,4887
demux_02_03_22_1,N240,4754
demux_30_01_22_1,N215,4721
demux_14_02_22_2,N234,4720
demux_28_02_23_1,N357,4658
demux_04_12_22_1,N307,4601
demux_16_01_22_1,N214,4468
demux_23_11_20_1,N75,4424
demux_27_02_23_2,N357,4280
demux_14_02_22_2,N231,4099
demux_30_11_20_1,N81,4033
demux_07_03_21_1,N166,3833
demux_27_11_22_1,N300,3723
demux_14_02_22_1,N233,3705
demux_28_02_23_1,N355,3696
demux_06_11_22_1,N277,3679
demux_27_02_23_2,N355,3617
demux_10_01_22_1,N208,3560
demux_01_02_21_2,N135,3504
demux_22_02_21_2,N156,3478
demux_28_11_21_1,N191,3431
demux_23_11_22_1,N295,3412
demux_06_06_22_1_ultima,N249,3390
demux_11_04_21_2,N184,3361
demux_01_02_21_2,N133,3333
demux_12_06_22_1_ultima,N258,3280
demux_22_02_21_2,N155,3185
demux_27_02_23_1,N362,3142
demux_13_12_22_2,N320,3081
demux_11_04_21_2,N177,3079
demux_13_12_22_1,N317,3051
demux_28_11_21_1,N192,3033
demux_23_11_22_1,N292,2955
demux_28_02_23_1,N354,2955
demux_01_02_21_2,N130,2907
demux_13_12_22_2,N319,2803
demux_02_03_22_1,N238,2789
demux_27_02_23_2,N354,2778
demux_22_02_21_2,N233,2705
demux_13_12_22_1,N321,2693
demux_30_11_20_1,N217,2677
demux_14_11_22_1,N290,2664
demux_14_02_22_2,N233,2627
demux_06_06_22_2_ultima,N253,2548
demux_26_03_23_1,N208,2541
demux_13_12_22_2,N322,2518
demux_06_06_22_2_ultima,N257,2439
demux_10_01_22_1,N210,2387
demux_14_02_22_1,N232,2379
demux_13_11_22_1,N285,2331
demux_07_11_21_1,N187,2321
demux_01_01_23_1,N196,2292
demux_23_11_22_1,N293,2263
demux_27_02_23_1,N363,2205
demux_30_11_20_1,N224,2184
demux_22_02_21_2,N152,2168
demux_28_11_21_1,N193,2156
demux_04_12_22_1,N309,2139
demux_27_11_22_1,N299,2117
demux_02_03_22_1,N220,2113
demux_16_01_22_1,N213,2083
demux_03_03_22_2,N241,2072
demux_09_02_22_1,N228,2030
demux_10_01_22_1,N207,1971
demux_26_03_23_1,N211,1946
demux_13_11_22_1,N283,1934
demux_03_11_21_1,N60,1924
demux_01_02_21_2,N232,1918
demux_27_11_22_1,N298,1887
demux_03_03_22_2,N242,1801
demux_26_03_23_1,N369,1798
demux_28_11_21_1,N190,1762
demux_12_06_22_1_ultima,N260,1739
demux_13_12_22_1,N320,1709
demux_15_01_23_1,N325,1703
demux_09_06_22_2_ultima,N250,1676
demux_14_02_22_2,N232,1624
demux_13_12_22_1,N319,1614
demux_15_01_23_1,N331,1580
demux_19_12_21_1,N194,1571
demux_03_11_21_1,N48,1566
demux_01_01_23_1,N240,1545
demux_23_11_22_1,N294,1538
demux_01_01_23_1,N323,1527
demux_13_12_22_1,N322,1481
demux_09_01_22_1,N206,1462
demux_07_02_22_1,N226,1436
demux_07_03_21_1,N176,1432
demux_26_03_23_1,N200,1431
demux_03_03_22_1,N241,1422
demux_13_12_22_2,N318,1416
demux_11_04_21_2,N178,1388
demux_07_03_21_1,N167,1386
demux_14_11_22_1,N287,1339
demux_27_02_23_1,N360,1308
demux_27_02_23_2,N260,1305
demux_02_01_22_1,N199,1304
demux_28_02_23_1,N260,1279
demux_23_11_20_1,N77,1269
demux_06_06_22_1_ultima,N253,1264
demux_12_06_22_1_ultima,N256,1260
demux_06_06_22_1_ultima,N257,1235
demux_28_02_23_1,N359,1227
demux_12_06_22_1_ultima,N259,1219
demux_02_01_22_1,N201,1215
demux_13_11_22_1,N282,1215
demux_03_03_22_1,N242,1193
demux_13_11_22_1,N284,1161
demux_16_01_22_1,N212,1117
demux_28_02_23_1,N356,1090
demux_27_02_23_2,N359,1059
demux_03_07_22_2_ultima,N271,1042
demux_27_02_23_2,N356,1003
demux_19_12_21_1,N195,967
demux_06_06_22_2_ultima,N254,966
demux_11_04_21_2,N210,940
demux_03_03_22_2,N243,939
demux_03_11_21_1,N209,849
demux_11_04_21_2,N200,817
demux_02_05_22_2_ultima,N248,784
demux_15_01_23_1,N188,767
demux_30_11_20_1,N82,765
demux_07_11_21_1,N188,761
demux_13_12_22_1,N318,744
demux_19_12_21_1,N196,713
demux_07_03_21_1,N171,683
demux_07_11_21_1,N185,676
demux_09_01_22_1,N203,669
demux_23_11_20_1,N74,662
demux_03_03_22_1,N243,651
demux_03_11_21_1,N12,621
demux_01_01_23_1,N325,596
demux_22_02_21_2,N153,581
demux_07_03_21_1,N168,570
demux_19_12_21_1,N189,559
demux_03_07_22_2_ultima,N272,559
demux_15_01_23_1,N329,526
demux_09_01_22_1,N204,474
demux_03_07_22_2_ultima,N270,451
demux_06_06_22_1_ultima,N254,449
demux_23_11_20_1,N76,421
demux_19_12_21_1,N197,351
demux_14_11_22_1,N289,294
demux_03_07_22_2_ultima,N269,288
demux_04_12_22_1,N12,258
demux_09_02_22_1,N230,237
demux_27_11_22_1,N296,212
