gene_name,num_of_illumina_exps,median_illumina_mean_read2_gc_fraction,num_of_ultima_exps,median_ultima_mean_read2_gc_fraction
A1BG,21.0,0.6381637875879719,24.0,0.561799728525608
A1BG-AS1,21.0,0.5433189033189033,24.0,0.4404016757186386
A1CF,10.0,0.42777777777777776,18.0,0.5218882167093075
A2M,21.0,0.4550724637681159,24.0,0.41603778095491206
A2M-AS1,21.0,0.3922973698336017,24.0,0.40792040193611456
A2ML1,20.0,0.5046296296296295,24.0,0.5235399244647244
A2ML1-AS1,18.0,0.3111111111111111,13.0,0.3111111111111111
A2ML1-AS2,6.0,0.6424469413233458,16.0,0.582605116514691
A3GALT2,1.0,0.7066666666666667,1.0,0.5888888888888889
A4GALT,21.0,0.6041005291005291,24.0,0.49931148505993345
A4GNT,3.0,0.4222222222222222,4.0,0.42777777777777776
AAAS,21.0,0.5717412935323384,24.0,0.5121127538741999
AACS,21.0,0.4671892751647353,24.0,0.4321495156291111
AADAC,14.0,0.31666666666666665,12.0,0.2533333333333333
AADACL2,2.0,0.37008739076154806,3.0,0.3777777777777777
AADACL2-AS1,7.0,0.5430555555555555,,
AADACL3,,,1.0,0.4222222222222222
AADAT,21.0,0.3753488372093023,24.0,0.38315794257020036
AAED1,21.0,0.3535790725326991,24.0,0.30366228459928285
AAGAB,21.0,0.4563403089187842,24.0,0.4003921588580027
AAK1,21.0,0.5273721793773207,24.0,0.49698502103421127
AAMDC,21.0,0.5217660845240796,24.0,0.495014731095343
AAMP,21.0,0.5429620766443979,24.0,0.42040689846049406
AANAT,21.0,0.6333333333333334,24.0,0.5174655935245843
AAR2,21.0,0.504057734204793,24.0,0.4186441530903072
AARD,20.0,0.5185493827160494,24.0,0.5339167007632895
AARS,21.0,0.5196706248232966,24.0,0.4884650961963086
AARS2,21.0,0.5204569055036344,24.0,0.5007274113802469
AARSD1,21.0,0.5110476643667222,24.0,0.5089213922184501
AASDH,21.0,0.3319484126984127,24.0,0.35242750489791014
AASDHPPT,21.0,0.3529290993703805,24.0,0.3237808928867696
AASS,21.0,0.3429521492295215,24.0,0.3240308005027311
AATBC,21.0,0.5408187134502924,24.0,0.4642467376219389
AATF,21.0,0.55649951496157,24.0,0.5162886392314741
AATK,21.0,0.4809661835748792,24.0,0.38975788452667604
AB015752.1,12.0,0.4444444444444444,16.0,0.43749999999999994
ABALON,21.0,0.5785907859078591,24.0,0.551304369511007
ABAT,21.0,0.456595921764461,24.0,0.45160155129900365
ABCA1,21.0,0.3799065420560747,24.0,0.3300642342405949
ABCA10,21.0,0.4,24.0,0.3536168639322525
ABCA12,19.0,0.4311111111111111,21.0,0.4166666666666666
ABCA13,21.0,0.4044067796610169,24.0,0.3541844577964871
ABCA2,21.0,0.6404040404040404,24.0,0.5871702837353654
ABCA3,21.0,0.5880952380952381,24.0,0.4950644422637948
ABCA4,3.0,0.5555555555555556,3.0,0.4333333333333333
ABCA5,21.0,0.3699406055338259,24.0,0.35488562300081716
ABCA6,21.0,0.406060606060606,24.0,0.3804678370482508
ABCA7,21.0,0.6447258606300136,24.0,0.5975095551160644
ABCA8,19.0,0.45,24.0,0.38730158730158726
ABCA9,21.0,0.3957264957264957,24.0,0.41586285120767874
ABCA9-AS1,20.0,0.33668938803297604,24.0,0.30602941700529657
ABCB1,21.0,0.4196369376479873,24.0,0.41781968077038123
ABCB10,21.0,0.3635244155705841,24.0,0.288618128943277
ABCB11,21.0,0.4385185185185185,24.0,0.43231485319259244
ABCB4,21.0,0.458628841607565,24.0,0.46539479098778136
ABCB5,21.0,0.4956862745098038,24.0,0.4426741291578725
ABCB6,21.0,0.4905149051490515,24.0,0.45306517833561205
ABCB7,21.0,0.4067890749278762,24.0,0.38074394087866703
ABCB8,21.0,0.6085265121236344,24.0,0.5830659500622888
ABCB9,21.0,0.6063492063492064,24.0,0.5590183268784463
ABCC1,21.0,0.5002104182704644,24.0,0.5213715250266464
ABCC10,21.0,0.5207754040917825,24.0,0.40082508632365843
ABCC11,21.0,0.6148148148148148,24.0,0.5843514602645705
ABCC12,,,1.0,0.3666666666666666
ABCC2,21.0,0.4514285714285714,24.0,0.45603635995202924
ABCC3,21.0,0.5653264159100735,24.0,0.5408977014091281
ABCC4,21.0,0.4140490979000296,24.0,0.36709497298008115
ABCC5,21.0,0.4420144764053393,24.0,0.3862611380507067
ABCC5-AS1,3.0,0.3733333333333333,5.0,0.3444444444444444
ABCC6,21.0,0.4261728395061728,24.0,0.3808285603569267
ABCC8,12.0,0.6105555555555555,16.0,0.475
ABCC9,16.0,0.37074074074074076,23.0,0.375
ABCD1,21.0,0.6681353767560665,24.0,0.6443058928793972
ABCD2,21.0,0.3712596096984033,24.0,0.36793571714181317
ABCD3,21.0,0.3630528586839266,24.0,0.3528173057590442
ABCD4,21.0,0.4651046104326422,24.0,0.4188450243985866
ABCE1,21.0,0.3794116906972647,24.0,0.351476740530337
ABCF1,21.0,0.51877262034021,24.0,0.49310593962332794
ABCF2,21.0,0.5517225325884544,24.0,0.42613187830561916
ABCF3,21.0,0.5590137241218889,24.0,0.5298917328920163
ABCG1,21.0,0.5413139862958485,24.0,0.45284556624590055
ABCG2,21.0,0.4036175710594314,24.0,0.35914804517414906
ABCG4,2.0,0.5555555555555556,4.0,0.4833333333333333
ABCG5,20.0,0.4888888888888889,24.0,0.5277777777777777
ABCG8,21.0,0.523514211886305,24.0,0.5923479027535858
ABHD1,21.0,0.5053380187416332,24.0,0.5191557530694049
ABHD10,21.0,0.4002836879432624,24.0,0.3871126114604704
ABHD11,21.0,0.5340266666666666,24.0,0.5221198228481982
ABHD12,21.0,0.5797610763164,24.0,0.45819973614306797
ABHD12B,21.0,0.4527272727272727,24.0,0.4485325260577676
ABHD13,21.0,0.3318975765889346,24.0,0.3435831076909506
ABHD14A,21.0,0.580251924001924,24.0,0.48676735528039783
ABHD14A-ACY1,21.0,0.5113871635610766,24.0,0.529036204777692
ABHD14B,21.0,0.5958733024865516,24.0,0.5512386957087059
ABHD15,21.0,0.4670457859434238,24.0,0.479009694231857
ABHD15-AS1,21.0,0.3864197530864197,18.0,0.3727532679738562
ABHD16A,21.0,0.4138047138047138,24.0,0.32242560999297787
ABHD16B,20.0,0.6926797385620915,12.0,0.6689156464890358
ABHD17A,21.0,0.725582839401637,24.0,0.5196540477618341
ABHD17B,21.0,0.3603234956847124,24.0,0.30224607683116367
ABHD17C,21.0,0.3802737520128824,24.0,0.4117846367977474
ABHD18,21.0,0.3958441558441558,24.0,0.443098197333183
ABHD2,21.0,0.4078520141170743,24.0,0.39568653576851087
ABHD3,21.0,0.357504105090312,24.0,0.2888030183971704
ABHD4,21.0,0.5305052941964884,24.0,0.4598578490067966
ABHD5,21.0,0.365531994047619,24.0,0.35127986545725937
ABHD6,21.0,0.4434070434070434,24.0,0.3796947575958449
ABHD8,21.0,0.6622567482736974,24.0,0.5415288001590769
ABI1,21.0,0.3486028568449588,24.0,0.31422268634031736
ABI2,21.0,0.4291911611423806,24.0,0.41278263126970044
ABI3,21.0,0.5435168738898757,24.0,0.5132263620202924
ABI3BP,20.0,0.4290245526425301,24.0,0.42909709168027793
ABL1,21.0,0.5275386012715713,24.0,0.3954013762289986
ABL2,21.0,0.4733911216180719,24.0,0.5082399036509813
ABLIM1,21.0,0.4944540616785279,24.0,0.4587979622358288
ABLIM2,20.0,0.5190476190476191,21.0,0.4166666666666667
ABLIM3,21.0,0.4886396011396011,24.0,0.38138091576079003
ABO,20.0,0.4249339761839762,24.0,0.38827577995696344
ABR,21.0,0.5026515151515152,24.0,0.4052730272819086
ABRA,20.0,0.4018434343434343,24.0,0.39825688909725476
ABRACL,21.0,0.3321084042657274,24.0,0.3124705038900337
ABRAXAS1,21.0,0.388877549574067,24.0,0.37519897773441446
ABRAXAS2,21.0,0.3950621587080283,24.0,0.37718501407614063
ABT1,21.0,0.4435082371725088,24.0,0.32724066458229284
ABTB1,21.0,0.6027228809837506,24.0,0.5442462814753397
ABTB2,21.0,0.493144208037825,24.0,0.3154049306456589
AC000032.1,21.0,0.5551111111111111,23.0,0.5708097928436912
AC000035.1,6.0,0.6759675405742822,2.0,0.749074074074074
AC000036.1,19.0,0.5277777777777778,23.0,0.5166666666666666
AC000058.1,6.0,0.4930555555555555,5.0,0.4666666666666667
AC000061.1,,,3.0,0.3777777777777777
AC000068.1,21.0,0.4083579154375614,24.0,0.4281678233031151
AC000068.2,21.0,0.5333333333333333,24.0,0.4427998367640599
AC000068.3,20.0,0.46031450719822814,24.0,0.4865481481198193
AC000093.1,21.0,0.4458446251129178,24.0,0.5494795922744383
AC000099.1,,,1.0,0.4111111111111111
AC000123.1,16.0,0.4027777777777778,23.0,0.3597200310520121
AC000124.1,3.0,0.5333333333333333,10.0,0.4666666666666667
AC000403.1,21.0,0.3823232323232323,24.0,0.36463728421610253
AC001226.1,21.0,0.459173126614987,24.0,0.4680881632406956
AC001226.2,21.0,0.4212962962962963,24.0,0.3744440279192178
AC002056.2,5.0,0.5222222222222223,7.0,0.5444444444444444
AC002064.1,9.0,0.4555555555555555,7.0,0.4755555555555555
AC002064.2,2.0,0.4748439450686641,1.0,0.4888888888888889
AC002066.1,7.0,0.5444444444444444,7.0,0.3555555555555555
